"","Index","identity","emotion_idx","emotion_cat","type"
"1",1,111,"1","Neutral","simple"
"2",2,114,"1","Neutral","simple"
"3",3,115,"1","Neutral","simple"
"4",4,116,"1","Neutral","simple"
"5",5,117,"1","Neutral","simple"
"6",6,119,"1","Neutral","simple"
"7",7,123,"1","Neutral","simple"
"8",8,128,"1","Neutral","simple"
"9",9,130,"1","Neutral","simple"
"10",10,132,"1","Neutral","simple"
"11",11,135,"1","Neutral","simple"
"12",12,141,"1","Neutral","simple"
"13",13,142,"1","Neutral","simple"
"14",14,144,"1","Neutral","simple"
"15",15,148,"1","Neutral","simple"
"16",16,172,"1","Neutral","simple"
"17",17,173,"1","Neutral","simple"
"18",18,174,"1","Neutral","simple"
"19",19,179,"1","Neutral","simple"
"20",20,181,"1","Neutral","simple"
"21",21,182,"1","Neutral","simple"
"22",22,183,"1","Neutral","simple"
"23",23,185,"1","Neutral","simple"
"24",24,188,"1","Neutral","simple"
"25",25,190,"1","Neutral","simple"
"26",26,191,"1","Neutral","simple"
"27",27,193,"1","Neutral","simple"
"28",28,195,"1","Neutral","simple"
"29",29,196,"1","Neutral","simple"
"30",30,198,"1","Neutral","simple"
"31",31,201,"1","Neutral","simple"
"32",32,203,"1","Neutral","simple"
"33",33,206,"1","Neutral","simple"
"34",34,208,"1","Neutral","simple"
"35",35,210,"1","Neutral","simple"
"36",36,211,"1","Neutral","simple"
"37",37,214,"1","Neutral","simple"
"38",38,217,"1","Neutral","simple"
"39",39,218,"1","Neutral","simple"
"40",40,221,"1","Neutral","simple"
"41",41,222,"1","Neutral","simple"
"42",42,223,"1","Neutral","simple"
"43",43,224,"1","Neutral","simple"
"44",44,227,"1","Neutral","simple"
"45",45,228,"1","Neutral","simple"
"46",46,231,"1","Neutral","simple"
"47",47,233,"1","Neutral","simple"
"48",48,237,"1","Neutral","simple"
"49",49,239,"1","Neutral","simple"
"50",50,240,"1","Neutral","simple"
"51",51,241,"1","Neutral","simple"
"52",52,242,"1","Neutral","simple"
"53",53,252,"1","Neutral","simple"
"54",54,253,"1","Neutral","simple"
"55",55,258,"1","Neutral","simple"
"56",56,259,"1","Neutral","simple"
"57",57,262,"1","Neutral","simple"
"58",58,263,"1","Neutral","simple"
"59",59,264,"1","Neutral","simple"
"60",60,266,"1","Neutral","simple"
"61",61,268,"1","Neutral","simple"
"62",62,269,"1","Neutral","simple"
"63",63,270,"1","Neutral","simple"
"64",64,271,"1","Neutral","simple"
"65",65,276,"1","Neutral","simple"
"66",66,277,"1","Neutral","simple"
"67",67,281,"1","Neutral","simple"
"68",68,283,"1","Neutral","simple"
"69",69,285,"1","Neutral","simple"
"70",70,286,"1","Neutral","simple"
"71",71,290,"1","Neutral","simple"
"72",72,292,"1","Neutral","simple"
"73",73,294,"1","Neutral","simple"
"74",74,296,"1","Neutral","simple"
"75",75,299,"1","Neutral","simple"
"76",76,300,"1","Neutral","simple"
"77",77,301,"1","Neutral","simple"
"78",78,302,"1","Neutral","simple"
"79",79,304,"1","Neutral","simple"
"80",80,305,"1","Neutral","simple"
"81",81,307,"1","Neutral","simple"
"82",82,309,"1","Neutral","simple"
"83",83,311,"1","Neutral","simple"
"84",84,312,"1","Neutral","simple"
"85",85,315,"1","Neutral","simple"
"86",86,318,"1","Neutral","simple"
"87",87,319,"1","Neutral","simple"
"88",88,325,"1","Neutral","simple"
"89",89,333,"1","Neutral","simple"
"90",90,334,"1","Neutral","simple"
"91",91,336,"1","Neutral","simple"
"92",92,343,"1","Neutral","simple"
"93",93,344,"1","Neutral","simple"
"94",94,346,"1","Neutral","simple"
"95",95,351,"1","Neutral","simple"
"96",96,353,"1","Neutral","simple"
"97",97,355,"1","Neutral","simple"
"98",98,357,"1","Neutral","simple"
"99",99,361,"1","Neutral","simple"
"100",100,370,"1","Neutral","simple"
"101",101,373,"1","Neutral","simple"
"102",102,374,"1","Neutral","simple"
"103",103,376,"1","Neutral","simple"
"104",104,377,"1","Neutral","simple"
"105",105,380,"1","Neutral","simple"
"106",106,382,"1","Neutral","simple"
